SENTENCE;LAW
hallerde verilecek ceza , altıda birden fazla olmamak üzere indirilebilir .;TÜRK CEZA KANUNU
olunan ceza , süresi aynı olmak koşuluyla , kısmen veya tamamen , akıl hastalarına özgü güvenlik tedbiri olarak da uygulanabilir .;TÜRK CEZA KANUNU
"Kanunun , fiili işlediği sırada oniki yaşını doldurmamış olan çocuklara ilişkin hükümleri , onbeş yaşını doldurmamış olan sağır ve dilsizler hakkında ; oniki yaşını doldurmuş olup da onbeş yaşını doldurmamış olanlara ilişkin hükümleri , onbeş yaşını doldurmuş olup da onsekiz yaşını doldurmamış olan sağır ve dilsizler hakkında ; onbeş yaşını doldurmuş olup da onsekiz yaşını doldurmamış olanlara ilişkin hükümleri , onsekiz yaşını doldurmuş olup da yirmibir yaşını doldurmamış olan sağır ve dilsizler hakkında da uygulanır .";TÜRK CEZA KANUNU
bir nedenle ya da irade dışı alınan alkol veya uyuşturucu madde etkisiyle , işlediği fiilin hukuki anlam ve sonuçlarını algılayamayan veya bu fiille ilgili olarak davranışlarını yönlendirme yeteneği önemli derecede azalmış olan kişiye ceza verilmez .;TÜRK CEZA KANUNU
olarak alınan alkol veya uyuşturucu madde etkisinde suç işleyen kişi hakkında birinci fıkra hükmü uygulanmaz .;TÜRK CEZA KANUNU
işlemeyi kastettiği bir suçu elverişli hareketlerle doğrudan doğruya icraya başlayıp da elinde olmayan nedenlerle tamamlayamaz ise teşebbüsten dolayı sorumlu tutulur .;TÜRK CEZA KANUNU
teşebbüs halinde fail , meydana gelen zarar veya tehlikenin ağırlığına göre , ağırlaştırılmış müebbet hapis cezası yerine onüç yıldan yirmi yıla kadar , müebbet hapis cezası yerine dokuz yıldan onbeş yıla kadar hapis cezası ile cezalandırılır .;TÜRK CEZA KANUNU
hallerde verilecek cezanın dörtte birinden dörtte üçüne kadarı indirilir .;TÜRK CEZA KANUNU
"suçun icra hareketlerinden gönüllü vazgeçer veya kendi çabalarıyla suçun tamamlanmasını veya neticenin gerçekleşmesini önlerse , teşebbüsten dolayı cezalandırılmaz ; fakat tamam olan kısım esasen bir suç oluşturduğu takdirde , sadece o suça ait ceza ile cezalandırılır .";TÜRK CEZA KANUNU
kanuni tanımında yer alan fiili birlikte gerçekleştiren kişilerden her biri , fail olarak sorumlu olur .;TÜRK CEZA KANUNU
işlenmesinde bir başkasını araç olarak kullanan kişi de fail olarak sorumlu tutulur .;TÜRK CEZA KANUNU
yeteneği olmayanları suçun işlenmesinde araç olarak kullanan kişinin cezası , üçte birden yarısına kadar artırılır .;TÜRK CEZA KANUNU
suç işlemeye azmettiren kişi , işlenen suçun cezası ile cezalandırılır .;TÜRK CEZA KANUNU
ve altsoy ilişkisinden doğan nüfuz kullanılmak suretiyle suça azmettirme halinde , azmettirenin cezası üçte birden yarısına kadar artırılır .;TÜRK CEZA KANUNU
suça azmettirilmesi halinde , bu fıkra hükmüne göre cezanın artırılabilmesi için üstsoy ve altsoy ilişkisinin varlığı aranmaz .;TÜRK CEZA KANUNU
belli olmaması halinde , kim olduğunun ortaya çıkmasını sağlayan fail veya diğer suç ortağı hakkında ağırlaştırılmış müebbet hapis cezası yerine yirmi yıldan yirmibeş yıla kadar , müebbet hapis cezası yerine onbeş yıldan yirmi yıla kadar hapis cezasına hükmolunabilir .;TÜRK CEZA KANUNU
hallerde verilecek cezada , üçte bir oranında indirim yapılabilir .;TÜRK CEZA KANUNU
"işlenmesine yardım eden kişiye , işlenen suçun ağırlaştırılmış müebbet hapis cezasını gerektirmesi halinde , onbeş yıldan yirmi yıla ; müebbet hapis cezasını gerektirmesi halinde , on yıldan onbeş yıla kadar hapis cezası verilir .";TÜRK CEZA KANUNU
hallerde cezanın yarısı indirilir .;TÜRK CEZA KANUNU
bu durumda verilecek ceza sekiz yılı geçemez .;TÜRK CEZA KANUNU
hallerde kişi işlenen suçtan dolayı yardım eden sıfatıyla sorumlu olur : Suç işlemeye teşvik etmek veya suç işleme kararını kuvvetlendirmek veya fiilin işlenmesinden sonra yardımda bulunacağını vaat etmek .;TÜRK CEZA KANUNU
nasıl işleneceği hususunda yol göstermek veya fiilin işlenmesinde kullanılan araçları sağlamak .;TÜRK CEZA KANUNU
işlenmesinden önce veya işlenmesi sırasında yardımda bulunarak icrasını kolaylaştırmak .;TÜRK CEZA KANUNU
iştirak için kasten ve hukuka aykırı işlenmiş bir fiilin varlığı yeterlidir .;TÜRK CEZA KANUNU
işlenişine iştirak eden her kişi , diğerinin cezalandırılmasını önleyen kişisel nedenler göz önünde bulundurulmaksızın kendi kusurlu fiiline göre cezalandırılır .;TÜRK CEZA KANUNU
suçlarda , ancak özel faillik niteliğini taşıyan kişi fail olabilir .;TÜRK CEZA KANUNU
suçların işlenişine iştirak eden diğer kişiler ise azmettiren veya yardım eden olarak sorumlu tutulur .;TÜRK CEZA KANUNU
iştirakten dolayı sorumlu tutulabilmek için ilgili suçun en azından teşebbüs aşamasına varmış olması gerekir .;TÜRK CEZA KANUNU
halinde işlenen suçlarda , sadece gönüllü vazgeçen suç ortağı , gönüllü vazgeçme hükümlerinden yararlanır .;TÜRK CEZA KANUNU
Gönüllü vazgeçenin gösterdiği gayreti dışında başka bir sebeple işlenmemiş olması , Gönüllü vazgeçenin bütün gayretine rağmen işlenmiş olması , Hallerinde de gönüllü vazgeçme hükümleri uygulanır .;TÜRK CEZA KANUNU
diğerinin unsurunu veya ağırlaştırıcı nedenini oluşturması dolayısıyla tek fiil sayılan suça bileşik suç denir .;TÜRK CEZA KANUNU
tür suçlarda içtima hükümleri uygulanmaz .;TÜRK CEZA KANUNU
suç işleme kararının icrası kapsamında , değişik zamanlarda bir kişiye karşı aynı suçun birden fazla işlenmesi durumunda , bir cezaya hükmedilir .;TÜRK CEZA KANUNU
bu ceza , dörtte birinden dörtte üçüne kadar artırılır .;TÜRK CEZA KANUNU
suçun temel şekli ile daha ağır veya daha az cezayı gerektiren nitelikli şekilleri , aynı suç sayılır .;TÜRK CEZA KANUNU
belli bir kişi olmayan suçlarda da bu fıkra hükmü uygulanır .;TÜRK CEZA KANUNU
suçun birden fazla kişiye karşı tek bir fiille işlenmesi durumunda da , birinci fıkra hükmü uygulanır .;TÜRK CEZA KANUNU
öldürme , kasten yaralama , işkence ve yağma suçlarında bu madde hükümleri uygulanmaz .;TÜRK CEZA KANUNU
bir fiil ile birden fazla farklı suçun oluşmasına sebebiyet veren kişi , bunlardan en ağır cezayı gerektiren suçtan dolayı cezalandırılır .;TÜRK CEZA KANUNU
karşılığında uygulanan yaptırım olarak cezalar , hapis ve adli para cezalarıdır .;TÜRK CEZA KANUNU
cezaları şunlardır : Ağırlaştırılmış müebbet hapis cezası .;TÜRK CEZA KANUNU
hapis cezası .;TÜRK CEZA KANUNU
müebbet hapis cezası hükümlünün hayatı boyunca devam eder , kanun ve Cumhurbaşkanınca çıkarılan yönetmelikte belirtilen sıkı güvenlik rejimine göre çektirilir .;TÜRK CEZA KANUNU
hapis cezası , hükümlünün hayatı boyunca devam eder .;TÜRK CEZA KANUNU
hapis cezası , kanunda aksi belirtilmeyen hallerde bir aydan az , yirmi yıldan fazla olamaz .;TÜRK CEZA KANUNU
bir yıl veya daha az süreli hapis cezası , kısa süreli hapis cezasıdır .;TÜRK CEZA KANUNU
"süreli hapis cezası , suçlunun kişiliğine , sosyal ve ekonomik durumuna , yargılama sürecinde duyduğu pişmanlığa ve suçun işlenmesindeki özelliklere göre ; Adli para cezasına , Mağdurun veya kamunun uğradığı zararın aynen iade , suçtan önceki hale getirme veya tazmin suretiyle , tamamen giderilmesine , En az iki yıl süreyle , bir meslek veya sanat edinmeyi sağlamak amacıyla , gerektiğinde barınma imkanı da bulunan bir eğitim kurumuna devam etmeye , Mahkûm olunan cezanın yarısından bir katına kadar süreyle , belirli yerlere gitmekten veya belirli etkinlikleri yapmaktan yasaklanmaya , Sağladığı hak ve yetkiler kötüye kullanılmak suretiyle veya gerektirdiği dikkat ve özen yükümlülüğüne aykırı davranılarak suç işlenmiş olması durumunda ; mahkûm olunan cezanın yarısından bir katına kadar süreyle , ilgili ehliyet ve ruhsat belgelerinin geri alınmasına , belli bir meslek ve sanatı yapmaktan yasaklanmaya , Mahkûm olunan cezanın yarısından bir katına kadar süreyle ve gönüllü olmak koşuluyla kamuya yararlı bir işte çalıştırılmaya , çevrilebilir .";TÜRK CEZA KANUNU
"tanımında hapis cezası ile adli para cezasının seçenek olarak öngörüldüğü hallerde , hapis cezasına hükmedilmişse ; bu ceza artık adli para cezasına çevrilmez .";TÜRK CEZA KANUNU
önce hapis cezasına mahkûm edilmemiş olmak koşuluyla , mahkûm olunan otuz gün ve daha az süreli hapis cezası ile fiili işlediği tarihte onsekiz yaşını doldurmamış veya altmışbeş yaşını bitirmiş bulunanların mahkûm edildiği bir yıl veya daha az süreli hapis cezası , birinci fıkrada yazılı seçenek yaptırımlardan birine çevrilir .;TÜRK CEZA KANUNU
"suçlardan dolayı hükmolunan hapis cezası uzun süreli de olsa ; bu ceza , diğer koşulların varlığı halinde , birinci fıkranın bendine göre adli para cezasına çevrilebilir .";TÜRK CEZA KANUNU
bu hüküm , bilinçli taksir halinde uygulanmaz .;TÜRK CEZA KANUNU
asıl mahkûmiyet , bu madde hükümlerine göre çevrilen adli para cezası veya tedbirdir .;TÜRK CEZA KANUNU
